id,year,lustrum,count_by_lustrum,duration_minutes,genre,genre_simplified,word_plot_count,media_sentiment,topics_lustrum_keywords,count_female,count_male,female_presence,female_ratio,female_adj_percentage
f3c04f24-9208-4149-a3e9-e7f3e8e46fb4,2025,2025,64,90,AventurasDrama,Drama,43,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",1,1,1,0.5,25.0
d5d531ef-2cb1-4b81-b218-69365966f8e3,2025,2025,64,88,Comedia dramática,Comedia,37,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",1,1,1,0.5,0.0
b350caf5-911d-44d2-b002-d5cc3ef5eee6,2025,2025,64,107,Drama,Drama,62,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",2,1,1,0.6666666666666666,60.0
f57227b4-2aeb-4d92-a9a0-5e0baf679ac4,2025,2025,64,105,Thriller,Suspenso,71,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",2,2,1,0.5,57.14285714285714
016b8bd7-6a85-4033-8783-2627bf02e34a,2025,2025,64,97,Drama histórico,Drama,70,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,0,0,0.0,37.5
819159c2-6123-4e14-b9c6-49d12ca96357,2025,2025,64,98,DramaThriller,Drama,59,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,0,0,0.0,0.0
a01cd2dd-7ab9-4386-b75f-3c1c8b4e1497,2025,2025,64,85,AnimaciónAventuras,Aventura,57,NEG,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",1,3,1,0.25,50.0
80f3e78b-cc99-4e70-a818-1e78925a2c39,2025,2025,64,95,Drama,Drama,39,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",2,0,1,1.0,100.0
eec90052-dc09-48bb-889a-8af1fe5fa83d,2025,2025,64,90,Terror y suspenso,Suspenso,61,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",3,3,1,0.5,80.0
b03ed02d-d8f5-4552-8dc1-91be2c51a2a1,2025,2025,64,120,CrimenThrillerDrama,Drama,36,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,1,0,0.0,0.0
